Frances' Secret Handshake,Chimney Rock > Elk Creek Spires > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111932269/frances-secret-handshake,5.11c,39.50653,-105.4142,Chimney Rock,Elk Creek Spires
Front Stoop,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/112777414/front-stoop,5.12b,39.5168,-105.3962,The Dungeon,Staunton Rocks
"Fundalina Fox, What's That Mean?",Death by Wildlife > Beyond Authority > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117123421/fundalina-fox-whats-that-mean,5.10b/c,39.52441,-105.41653,Death by Wildlife,Beyond Authority
Ginger Snap,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108152226/ginger-snap,5.10a,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
Ground Control to Major Tom,Lower Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119700771/ground-control-to-major-tom,5.10a,39.51635,-105.39622,Lower Tan Corridor,Tan Corridor
Guillotine,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121458562/guillotine,5.11,39.52249,-105.39054,Main Wall,Roughneck Area
Happy Birthday Hantavirus,Death by Wildlife > Beyond Authority > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117123002/happy-birthday-hantavirus,5.9,39.52441,-105.41653,Death by Wildlife,Beyond Authority
Happy Endings,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113769206/happy-endings,5.13a,39.5168,-105.3962,The Dungeon,Staunton Rocks
Harvey,Permission Wall > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/109330568/harvey,5.9,39.51583,-105.39601,Permission Wall,Meadow Dome
I Saw the Stars,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121280962/i-saw-the-stars,5.11c,39.51825,-105.39656,The Overlook,Staunton Rocks
If and Only If,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113203773/if-and-only-if,5.13-,39.5168,-105.3962,The Dungeon,Staunton Rocks
Iliad,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121207540/iliad,5.11d,39.52249,-105.39054,Main Wall,Roughneck Area
Inside Out,6. The Lower East Side > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121465922/inside-out,5.9+,39.50337,-105.36885,6. The Lower East Side,Dines Cliff
Intolerance Test,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114348571/intolerance-test,5.13a,39.5168,-105.3962,The Dungeon,Staunton Rocks
Io,3. Astronomy Wall > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113539087/io,5.9+,39.51539,-105.39388,3. Astronomy Wall,The Pooka
Jane Jetson,5. Cartoon Wall > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119490766/jane-jetson,5.10d,39.50327,-105.36968,5. Cartoon Wall,Dines Cliff
Jerry the Gnome,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111984595/jerry-the-gnome,5.10,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
Jonny Quest,5. Cartoon Wall > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119490736/jonny-quest,5.10a,39.50327,-105.36968,5. Cartoon Wall,Dines Cliff
Katz's Deli,6. The Lower East Side > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119645506/katzs-deli,5.9,39.50337,-105.36885,6. The Lower East Side,Dines Cliff
Key to the V Door,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120918412/key-to-the-v-door,5.11a,39.52249,-105.39054,Main Wall,Roughneck Area
Khaleesi (variation to Viserion),1. King's Landing > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/115681380/khaleesi-variation-to-viserion,5.9-,39.51527,-105.39383,1. King's Landing,The Pooka
Layton is My Motor,Lower Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119700086/layton-is-my-motor,5.10b,39.51635,-105.39622,Lower Tan Corridor,Tan Corridor
Left Ear Down,Chimney Rock > Elk Creek Spires > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117837578/left-ear-down,5.10+,39.50653,-105.4142,Chimney Rock,Elk Creek Spires
Lili Von Shtupp,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/118632969/lili-von-shtupp,5.9-,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
Little Bird Let Go,Death by Wildlife > Beyond Authority > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117123401/little-bird-let-go,5.10c/d,39.52441,-105.41653,Death by Wildlife,Beyond Authority
Living Remotely,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119650534/living-remotely,5.12b,39.51825,-105.39656,The Overlook,Staunton Rocks
Look Before You Leap,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119662650/look-before-you-leap,5.11a/b,39.51825,-105.39656,The Overlook,Staunton Rocks
Look of the Devil,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121281032/look-of-the-devil,5.11b,39.51825,-105.39656,The Overlook,Staunton Rocks
Lookie-loo,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119662622/lookie-loo,5.12a,39.51825,-105.39656,The Overlook,Staunton Rocks
